Coil_ID, X [m], Y [m], Z [m]
1, 4.289956, -1.388506, 2.617778
1, 4.299038, -1.391613, 2.630740
1, 4.308107, -1.394570, 2.643736
1, 4.317160, -1.397377, 2.656766
1, 4.326197, -1.400036, 2.669828
1, 4.335215, -1.402546, 2.682922
1, 4.344214, -1.404907, 2.696046
1, 4.353191, -1.407119, 2.709201
1, 4.362147, -1.409183, 2.722386
1, 4.371079, -1.411099, 2.735598
1, 4.379986, -1.412867, 2.748839
1, 4.388867, -1.414488, 2.762106
1, 4.397721, -1.415961, 2.775399
1, 4.406545, -1.417287, 2.788717
1, 4.415339, -1.418467, 2.802060
1, 4.424102, -1.419500, 2.815426
1, 4.432833, -1.420387, 2.828814
1, 4.441529, -1.421128, 2.842224
1, 4.450190, -1.421724, 2.855655
1, 4.458815, -1.422175, 2.869107
1, 4.467402, -1.422481, 2.882577
1, 4.475951, -1.422643, 2.896066
1, 4.484459, -1.422661, 2.909572
1, 4.492926, -1.422535, 2.923095
1, 4.501351, -1.422267, 2.936633
1, 4.509732, -1.421857, 2.950187
1, 4.518068, -1.421304, 2.963754
1, 4.526359, -1.420610, 2.977335
1, 4.534602, -1.419774, 2.990928
1, 4.542798, -1.418799, 3.004532
1, 4.550944, -1.417683, 3.018147
1, 4.559039, -1.416427, 3.031772
1, 4.567084, -1.415033, 3.045406
1, 4.575076, -1.413500, 3.059047
1, 4.583014, -1.411829, 3.072696
1, 4.590898, -1.410022, 3.086351
1, 4.598726, -1.408077, 3.100012
1, 4.606498, -1.405996, 3.113677
1, 4.614212, -1.403780, 3.127346
1, 4.621867, -1.401429, 3.141018
1, 4.629463, -1.398943, 3.154691
1, 4.636998, -1.396324, 3.168366
1, 4.644471, -1.393572, 3.182041
1, 4.651882, -1.390688, 3.195716
1, 4.659230, -1.387672, 3.209389
1, 4.666513, -1.384525, 3.223060
1, 4.673731, -1.381248, 3.236728
1, 4.680883, -1.377841, 3.250391
1, 4.687968, -1.374305, 3.264050
1, 4.694984, -1.370641, 3.277704
1, 4.701932, -1.366850, 3.291350
1, 4.708811, -1.362932, 3.304990
1, 4.715619, -1.358887, 3.318621
1, 4.722355, -1.354718, 3.332243
1, 4.729020, -1.350424, 3.345855
1, 4.735611, -1.346006, 3.359456
1, 4.742129, -1.341465, 3.373046
1, 4.748573, -1.336803, 3.386624
1, 4.754941, -1.332018, 3.400188
1, 4.761233, -1.327113, 3.413739
1, 4.767449, -1.322088, 3.427274
1, 4.773587, -1.316944, 3.440794
1, 4.779647, -1.311682, 3.454297
1, 4.785629, -1.306302, 3.467783
1, 4.791531, -1.300806, 3.481251
1, 4.797352, -1.295194, 3.494700
1, 4.803093, -1.289467, 3.508129
1, 4.808752, -1.283626, 3.521537
1, 4.814330, -1.277671, 3.534924
1, 4.819824, -1.271604, 3.548290
1, 4.825235, -1.265426, 3.561632
1, 4.830562, -1.259137, 3.574950
1, 4.835805, -1.252738, 3.588244
1, 4.840963, -1.246230, 3.601513
1, 4.846035, -1.239614, 3.614755
1, 4.851020, -1.232891, 3.627971
1, 4.855919, -1.226061, 3.641159
1, 4.860731, -1.219126, 3.654318
1, 4.865455, -1.212086, 3.667449
1, 4.870091, -1.204943, 3.680549
1, 4.874638, -1.197697, 3.693619
1, 4.879095, -1.190349, 3.706657
1, 4.883463, -1.182900, 3.719663
1, 4.887741, -1.175351, 3.732636
1, 4.891928, -1.167703, 3.745576
1, 4.896024, -1.159956, 3.758481
1, 4.900028, -1.152113, 3.771350
1, 4.903941, -1.144173, 3.784184
1, 4.907761, -1.136137, 3.796982
1, 4.911489, -1.128007, 3.809741
1, 4.915124, -1.119783, 3.822463
1, 4.918665, -1.111467, 3.835146
1, 4.922112, -1.103059, 3.847789
1, 4.925465, -1.094560, 3.860393
1, 4.928724, -1.085971, 3.872955
1, 4.931888, -1.077293, 3.885475
1, 4.934957, -1.068527, 3.897954
1, 4.937931, -1.059674, 3.910389
1, 4.940808, -1.050735, 3.922780
1, 4.943590, -1.041711, 3.935127
1, 4.946276, -1.032603, 3.947429
1, 4.948865, -1.023411, 3.959686
1, 4.951357, -1.014137, 3.971895
1, 4.953752, -1.004782, 3.984058
1, 4.956050, -0.995346, 3.996173
1, 4.958251, -0.985831, 4.008239
1, 4.960354, -0.976237, 4.020257
1, 4.962359, -0.966566, 4.032225
1, 4.964266, -0.956818, 4.044142
1, 4.966075, -0.946994, 4.056008
1, 4.967785, -0.937096, 4.067823
1, 4.969396, -0.927124, 4.079585
1, 4.970909, -0.917079, 4.091294
1, 4.972323, -0.906962, 4.102950
1, 4.973638, -0.896775, 4.114551
1, 4.974854, -0.886517, 4.126098
1, 4.975971, -0.876191, 4.137590
1, 4.976988, -0.865796, 4.149025
1, 4.977905, -0.855335, 4.160404
1, 4.978723, -0.844807, 4.171725
1, 4.979441, -0.834215, 4.182989
1, 4.980060, -0.823558, 4.194194
1, 4.980579, -0.812838, 4.205340
1, 4.980997, -0.802055, 4.216427
1, 4.981316, -0.791212, 4.227454
1, 4.981535, -0.780308, 4.238419
1, 4.981654, -0.769344, 4.249324
1, 4.981672, -0.758323, 4.260166
1, 4.981591, -0.747243, 4.270946
1, 4.981409, -0.736107, 4.281664
1, 4.981128, -0.724916, 4.292317
